eid,source,target,dir,capacity,speed_mph,cost_time,btw
12804,23729,19033,1,950,20,1.5667414873199998,24814.0
65289,23729,12460,1,950,20,2.8126957990499997,21465.0
51100,23730,1831,1,5400,40,0.031874342716799994,5587973.5
12181,23731,19614,1,950,20,0.175697287734,58462.5
94171,23732,18755,1,950,20,0.376158003287,13259.0
57557,23732,12446,1,5400,40,0.022760098605900003,3498332.0
2159,23732,10959,1,5400,40,0.113483401818,3757384.5
90565,23733,11904,1,1900,30,0.400276527078,286881.0
48820,23733,1258,1,1900,30,0.0327321383875,370020.5
50219,23734,3041,1,950,20,0.9647407748960001,588.0
91621,23734,4141,1,950,20,0.052428872844599995,3474.0
91661,23734,3134,1,1900,30,0.834681712097,10973.5
50235,23734,25313,1,1900,30,0.0660153226655,27180.0
2066,23735,14867,1,8100,40,0.139553557516,1785.0
10635,23735,20995,1,5400,40,0.0947924924196,2158145.0
18364,23736,19273,1,5400,40,2.07427793063,23777962.0
23904,23737,10068,1,6900,60,0.283881920167,62408334.0
30133,23738,6242,1,950,20,2.50437628638,25029.0
13261,23738,6587,1,950,20,0.0507092544482,26781.5
78443,23739,5564,1,950,20,0.337393795833,26593.5
44435,23739,16903,1,950,20,4.19207664862,97.0
30664,23740,10000,1,6900,60,1.2353270614799998,27250541.0
74333,23741,3555,1,5400,40,0.33223355408000005,314183.0
91625,23741,4405,1,1900,30,2.1126445895,552.0
25422,23741,318,1,5400,40,0.21502406791700002,222055.0
90663,23742,2305,1,950,20,0.111946394279,334.0
49014,23742,23389,1,950,20,1.94123037725,26587.0
90669,23742,1174,1,950,20,0.181762833688,51396.0
74643,23743,4512,1,1900,30,0.0189171179951,18544.0
25810,23743,3970,1,1900,30,0.146892187466,2586529.0
58169,23744,22692,1,1900,30,0.0222926723025,1678000.0
24341,23744,3590,1,1900,30,0.5009198640479999,1913419.0
13677,23745,16832,1,1900,30,0.043320919425800006,271467.0
65919,23745,796,1,1900,30,0.0115119547759,433633.0
12660,23746,20921,1,950,20,0.394517426027,36521.0
12737,23746,19483,1,1900,30,0.270619617914,1179426.0
65189,23746,19485,1,950,20,1.78522388186,0.0
65239,23746,26089,1,1900,30,0.9129444909729999,649415.0
20599,23747,15830,1,8100,40,0.07441811174610001,135105.0
55337,23747,1007,1,8100,40,0.0991866688372,688627.0
91641,23748,3024,1,5400,40,0.432010763661,942630.5
91545,23748,1923,1,950,20,0.352779107942,2897.0
50248,23748,991,1,5400,40,0.127973834066,762050.0
41778,23749,23751,1,5400,40,0.175145165004,13082633.0
50980,23750,21734,1,5400,40,0.29527683997299997,2129690.5
30072,23751,18190,1,5400,40,0.23430526167,13081665.5
